assembly_id,organism_name,is_fungi,match_method,genbank_group,assembly_level,genbank_assembly_accession,refseq_paired_assembly,genbank_organism_name
GCA_032173475.1,Amanita phalloides,Y,assembly_exact,fungi,Scaffold,GCA_032173475.1,na,Amanita phalloides
GCA_032433595.1,Conoideocrella luteorostrata,Y,assembly_exact,fungi,Scaffold,GCA_032433595.1,na,Conoideocrella luteorostrata
GCA_033030565.1,Fusarium nematophilum,Y,assembly_exact,fungi,Scaffold,GCA_033030565.1,na,Fusarium nematophilum
GCA_038094415.1,Xerocomus alliaceus,Y,assembly_exact,fungi,Scaffold,GCA_038094415.1,na,Xerocomus alliaceus
GCA_038094595.1,Pulveroboletus aff. annulatus,Y,assembly_exact,fungi,Scaffold,GCA_038094595.1,na,Pulveroboletus aff. annulatus
GCA_038659295.1,Enterocytospora artemiae,Y,assembly_exact,fungi,Contig,GCA_038659295.1,na,Enterocytospora artemiae
GCA_900465325.1,Zygosaccharomyces sapae,Y,name_exact,fungi,,,,Zygosaccharomyces sapae
GCA_900519065.1,Yarrowia hollandica,Y,name_exact,fungi,,,,Yarrowia hollandica
GCA_911254575.1,Candida sanyaensis,Y,name_exact,fungi,,,,Candida sanyaensis
GCA_951802425.1,Clavaria fumosa,Y,name_exact,fungi,,,,Clavaria fumosa
GCF_000464535.1,Endocarpon pusillum,Y,assembly_exact,fungi,Scaffold,GCA_000464535.1,GCF_000464535.1,Endocarpon pusillum Z07020
GCF_000523455.1,Bipolaris oryzae,Y,assembly_exact,fungi,Scaffold,GCA_000523455.1,GCF_000523455.1,Bipolaris oryzae ATCC 44560
GCF_010093535.1,Lindgomyces ingoldianus,Y,assembly_exact,fungi,Scaffold,GCA_010093535.1,GCF_010093535.1,Lindgomyces ingoldianus
GCF_011800055.1,Colletotrichum gloeosporioides,Y,assembly_exact,fungi,Scaffold,GCA_011800055.1,GCF_011800055.1,Colletotrichum gloeosporioides
GCF_022836535.1,Colletotrichum spaethianum,Y,assembly_exact,fungi,Contig,GCA_022836535.1,GCF_022836535.1,Colletotrichum spaethianum
GCA_000710315.1,Eremothecium coryli,Y,assembly_exact,fungi,Scaffold,GCA_000710315.1,na,Eremothecium coryli CBS 5749
GCA_000812845.1,Stagonosporopsis tanaceti,Y,assembly_exact,fungi,Contig,GCA_000812845.1,na,Stagonosporopsis tanaceti
GCA_001600015.1,Solicoccozyma phenolica,Y,assembly_exact,fungi,Scaffold,GCA_001600015.1,na,Solicoccozyma phenolica
GCA_002812745.2,Scytalidium lignicola,Y,assembly_exact,fungi,Contig,GCA_002812745.2,na,Scytalidium lignicola
GCA_002894705.1,Aspergillus sp. ATCC 12892,Y,assembly_exact,fungi,Scaffold,GCA_002894705.1,na,Aspergillus sp. ATCC 12892
GCA_004124955.1,Starmerella riodocensis,Y,assembly_exact,fungi,Scaffold,GCA_004124955.1,na,Starmerella riodocensis
GCA_005281535.1,Taphrina confusa,Y,assembly_exact,fungi,Scaffold,GCA_005281535.1,na,Taphrina confusa
GCA_008065195.1,Metschnikowia amazonensis,Y,assembly_exact,fungi,Scaffold,GCA_008065195.1,na,Metschnikowia amazonensis
GCA_009193465.1,Aspergillus avenaceus,Y,assembly_exact,fungi,Scaffold,GCA_009193465.1,na,Aspergillus avenaceus
GCA_009809945.1,Gigaspora margarita,Y,assembly_exact,fungi,Scaffold,GCA_009809945.1,na,Gigaspora margarita
