organism_name,assembly_id
Globisporangium spiculum,GCA_023335655.1
Globisporangium spinosum,GCA_023335535.1
Globisporangium splendens,GCA_006386115.1
Globisporangium sylvaticum,GCA_023334975.1
Globisporangium takayamanum,GCA_023333735.1
Globisporangium ultimum,GCA_000143045.1
Globisporangium uncinulatum,GCA_023333755.1
Globisporangium viniferum,GCA_023333705.1
Globisporangium yorkense,GCA_023333695.1
Goniomonas avonlea,GCA_003573635.1
Gracilaria caudata,GCA_030374735.1
Gracilaria domingensis,GCA_022539475.1
Gracilaria gracilis,GCA_030374805.1
Gracilaria vermiculophylla,GCA_019155205.2
Gracilariopsis chorda,GCA_003194525.1
Gregarina niphandrodes,GCF_000223845.1
Guillardia theta,GCF_000315625.1
Haemoproteus tartakovskyi,GCA_001625125.1
Halamphora sp. MG8b,GCA_004335815.1
Halocafeteria seosinensis,GCA_001687465.1
Halophytophthora batemanensis,GCA_023338225.1
Halophytophthora polymorphica,GCA_023338205.1
Halteria grandinella,GCA_006369765.1
Hammondia hammondi,GCA_000447165.1
Hepatocystis sp. ex Piliocolobus tephrosceles,GCA_902459845.2
Herpetomonas muscarum,GCA_000482205.1
Herpetomonas samuelpessoai,GCA_030849835.1
Herpetomonas tarakana,GCA_030849825.1
Herpochondria borealis,GCA_032274145.1
Heterococcus sp. DN1,GCA_000498555.1
Heterostelium album,GCF_000004825.1
Heterostelium multicystogenum,GCA_003667245.1
Heterotrichella gracilis,GCA_032358255.1
Hexamita inflata,GCA_963988835.1
Histomonas meleagridis,GCA_020186115.1
Hondaea fermentalgiana,GCA_014084085.1
Hyaloperonospora arabidopsidis,GCA_000173235.2
Hyaloperonospora brassicae,GCA_947650285.1
Hyaloperonospora parasitica,GCA_029452305.1
Hyphochytrium catenoides,GCA_900088475.1
Ichthyophonus hoferi,GCA_002751075.1
Ichthyophthirius multifiliis,GCF_000220395.1
Ichthyosporea sp. XGB-2017a,GCA_002811675.1
Internoretia fryeana,GCA_036784875.1
Isochrysis galbana,GCA_018136815.1
Isotricha intestinalis,GCA_023807065.1
Isotricha prostoma,GCA_023807205.1
Isotricha sp. YL-2021a,GCA_023806865.1
Isotricha sp. YL-2021b,GCA_023805745.1
Jaenimonas drosophilae,GCA_030849065.1
Kappaphycus alvarezii,GCA_002205965.3
Kentomonas sorsogonicus,GCA_030347455.1
Kipferlia bialata,GCA_003568945.1
Labyrinthula sp. Ha,GCA_015227615.1
Lagenidium giganteum,GCA_002286825.1
Lagenidium sp. CBS 127285,GCA_023338185.1
Laminaria ephemera,GCA_036873875.1
Laminaria setchellii,GCA_037834435.1
Laminaria sinclairii,GCA_036873665.1
Laurentiella sp. PUJRC_G5,GCA_001272975.2
Leishmania aethiopica,GCA_003992445.1
Leishmania amazonensis,GCA_005317125.1
Leishmania arabica,GCA_000410695.2
Leishmania braziliensis,GCF_000002845.2
Leishmania enriettii,GCA_017916305.1
Leishmania gerbilli,GCA_000443025.1
Leishmania guyanensis,GCA_024970365.1
Leishmania lainsoni,GCA_003664395.1
Leishmania major,GCF_000002725.2
Leishmania martiniquensis,GCA_017916325.1
Leishmania mexicana,GCF_000234665.1
Leishmania orientalis,GCA_017916335.1
Leishmania peruviana,GCA_001403695.1
Leishmania sp. Ghana 2012 LV757,GCA_017918215.1
Leishmania sp. Namibia,GCA_017918225.1
Leishmania tarentolae,GCA_033953505.1
Leishmania tropica,GCA_014139745.1
Leishmania turanica,GCA_000441995.1
Leptomonas pyrrhocoris,GCF_001293395.1
Leptomonas seymouri,GCA_001299535.1
Licmophora abbreviata,GCA_900291995.1
Lingulaulax polyedra,GCA_037575995.1
Lotmaria passim,GCA_037349495.1
Loxodes magnus,GCA_946699065.1
Macrocystis pyrifera,GCA_031763025.1
Mantamonas sphyraenae,GCA_026936335.1
Mastigamoeba balamuthi,GCA_902651635.1
Mastocarpus papillatus,GCA_032356145.1
Mayamaea pseudoterrestris,GCA_027923505.1
Mediolabrus comicus,GCA_036940125.1
Metadinium minorum,GCA_023807265.1
Miamiensis avidus,GCA_037039885.1
Microchloropsis salina,GCA_004565275.1
Mikrocytos mackini,GCA_030180075.1
Ministeria vibrans,GCA_943704425.1
Moneuplotes crassus,GCA_946863485.1
Monocercomonoides exilis,GCA_001643675.2
Monosiga brevicollis,GCF_000002865.3
Naegleria fowleri,GCF_008403515.1
Naegleria gruberi,GCF_000004985.1
Naegleria lovaniensis,GCF_003324165.1
Nannochloropsis gaditana,GCF_000240725.1
Nannochloropsis granulata,GCA_004335405.1
Nannochloropsis limnetica,GCA_001614225.1
Nannochloropsis oceanica,GCA_004519485.1
Nannochloropsis oculata,GCA_004335455.1
Neoagarum fimbriatum,GCA_036873965.1
Neospora caninum,GCF_000208865.1
Neovahlkampfia damariscottae,GCA_016618085.1
Nephromyces sp. MM_2019,GCA_015657535.1
Nereocystis luetkeana,GCA_031213475.1
Nitzschia inconspicua,GCA_019154785.2
Nitzschia palea,GCA_019593585.1
Nitzschia putrida,GCA_016586335.1
Nitzschia sp. DOCU1,GCA_951394045.1
Nitzschia sp. Nitz4,GCA_013372465.1
Nitzschia sp. pyKryTriq1,GCA_956465555.1
Nothophytophthora sp. Chile5,GCA_001712635.2
Novymonas esmeraldas,GCA_019188245.1
Ochromonadaceae sp. CCMP2298,GCA_026770595.1
Ochromonas danica,GCA_015146655.1
Odonthalia washingtoniensis,GCA_032358235.1
Ophiocytium majus,GCA_032358315.1
Ophryocystis elektroscirrha,GCA_030141585.1
Ophryoscolex caudatus,GCA_023806825.1
Opuntiella californica,GCA_032270645.1
Ostracodinium dentatum,GCA_023805525.1
Ostracodinium gracile,GCA_023805685.1
Oxytricha trifallax,GCA_000711775.1
Paralagenidium karlingii,GCA_027475765.1
Paramecium biaurelia,GCA_000733385.1
Paramecium bursaria,GCA_016759055.1
Paramecium caudatum,GCA_000715435.1
Paramecium octaurelia,GCA_905182995.1
Paramecium pentaurelia,GCA_905183005.1
Paramecium primaurelia,GCA_905182975.1
Paramecium sexaurelia,GCA_000733375.1
Paramecium sonneborni,GCA_905182985.1
Paramecium tetraurelia,GCF_000165425.1
Paramoeba pemaquidensis,GCA_002151225.1
Paratrimastix pyriformis,GCA_027972325.1
Paratrypanosoma confusum,GCA_002921335.1
Paraurostyla sp. PUJRC_G6,GCA_001272965.2
Parietichytrium sp. I65-24A,GCA_012862575.1
Parmales sp. scaly parma,GCA_030267985.1
Parvularia atlantis,GCA_943704415.1
Paulinella micropora,GCA_019918135.1
Pavlovales sp. CCMP2436,GCA_026770615.1
Pelagomonas calceolata,GCA_918797485.1
Pelagophyceae sp. CCMP2097,GCA_026770575.1
Pelomyxa schiedti,GCA_020536535.1
Perkinsela sp. CCAP 1560/4,GCA_001235845.1
Perkinsela sp. pyNocScin1,GCA_964019655.1
Perkinsus chesapeaki,GCA_013115145.1
Perkinsus marinus,GCF_000006405.1
Perkinsus olseni,GCA_013115135.1
Perkinsus sp. BL_2016,GCA_004369235.1
Peronosclerospora sorghi,GCA_026184515.1
Peronospora belbahrii,GCA_920618645.1
Peronospora destructor,GCA_011800735.1
Peronospora farinosa,GCA_947646735.1
Peronospora tabacina,GCA_002099245.1
Phaeodactylum tricornutum,GCF_000150955.2
Phytomonas francai,GCA_001766655.1
Phytomonas serpens,GCA_000331125.1
Phytomonas sp. EM1,GCA_000582765.1
Phytomonas sp. Hart1,GCA_000982615.1
Phytophthora agathidicida,GCA_025722995.1
Phytophthora aleatoria,GCA_018873745.1
Phytophthora betacei,GCA_011320135.1
Phytophthora boehmeriae,GCA_011947355.1
Phytophthora brassicae,GCA_024679045.1
Phytophthora cactorum,GCA_016864655.1
Phytophthora cajani,GCA_024679175.1
Phytophthora capsici,GCA_030324255.1
Phytophthora chlamydospora,GCA_012295415.1
Phytophthora citricola,GCA_007655245.1
Phytophthora citrophthora,GCA_031305395.1
Phytophthora colocasiae,GCA_018806915.1
Phytophthora constricta,GCA_011947335.1
Phytophthora crassamura,GCA_033557995.1
Phytophthora cryptogea,GCA_000468175.2
Phytophthora europaea,GCA_030463285.1
Phytophthora foliorum,GCA_024679135.1
Phytophthora fragariae,GCA_009729435.1
Phytophthora fragariaefolia,GCA_030267785.1
Phytophthora gonapodyides,GCA_012295475.1
Phytophthora hibernalis,GCA_012656075.1
Phytophthora idaei,GCA_016880985.1
Phytophthora infestans,GCF_000142945.1
Phytophthora kernoviae,GCA_008080845.1
Phytophthora lateralis,GCA_000500205.2
Phytophthora litchii,GCA_002812785.1
Phytophthora macrochlamydospora,GCA_011947325.1
Phytophthora meadii,GCA_032432875.1
Phytophthora megakarya,GCA_002215365.1
Phytophthora melonis,GCA_024211575.1
Phytophthora multivora,GCA_001314345.1
Phytophthora nicotianae,GCF_000247585.1
Phytophthora niederhauseri,GCA_024679275.1
Phytophthora ohioensis (nom. inval.),GCA_014706125.1
Phytophthora palmivora,GCA_008079305.1
Phytophthora parvispora,GCA_024679295.1
Phytophthora pini,GCA_023611945.1
Phytophthora pinifolia,GCA_000500225.2
Phytophthora pisi,GCA_024679225.1
Phytophthora pistaciae,GCA_024679115.1
Phytophthora plurivora,GCA_030027945.1
Phytophthora pluvialis,GCA_001314425.1
Phytophthora podocarpi,GCA_001314375.1
Phytophthora pseudosyringae,GCA_019155715.1
Phytophthora quercina,GCA_014706105.1
Phytophthora quininea,GCA_011947345.1
Phytophthora ramorum,GCA_020800215.1
Phytophthora rubi,GCA_000687305.2
Phytophthora sansomeana,GCA_032158285.1
Phytophthora sojae,GCF_000149755.1
Phytophthora sp. 'mugwort',GCA_033558025.1
Phytophthora sp. ST_20190627,GCA_014706145.1
Phytophthora syringae,GCA_012656105.1
Phytophthora taxon juncus,GCA_033558005.1
Phytophthora tentaculata,GCA_033557915.1
Phytophthora tubulina,GCA_014706135.1
Phytophthora uliginosa,GCA_024679075.1
Phytophthora vignae,GCA_016169955.1
Phytophthora x alni,GCA_000439335.1
Phytophthora x cambivora,GCA_000443045.1
Phytophthora x cambivora,GCA_033557925.1
Phytopythium aichiense,GCA_023338125.1
Phytopythium boreale,GCA_023338115.1
Phytopythium chamaehyphon,GCA_023334415.1
Phytopythium cucurbitacearum (nom. inval.),GCA_023336425.1
Phytopythium delawarense,GCA_023338175.1
Phytopythium helicoides,GCA_024867545.1
Phytopythium kandeliae,GCA_023338135.1
Phytopythium litorale,GCA_023338075.1
Phytopythium mirpurense,GCA_023338055.1
Phytopythium montanum,GCA_023338065.1
Phytopythium oedochilum,GCA_023338025.1
Phytopythium ostracodes,GCA_023337975.1
Phytopythium sindhum,GCA_023334395.1
Phytopythium vexans,GCA_003413675.1
Pigoraptor chileana,GCA_943704495.1
Pigoraptor vietnamica,GCA_943704525.1
Pilasporangium apinafurcum,GCA_001600495.1
Pinguiococcus pyrenoidosus,GCA_019677205.1
Pirum gemmata,GCA_002812295.1
Planoprotostelium fungivorum,GCA_003024175.1
Plasmodiophora brassicae,GCA_039704465.1
Plasmodium adleri (nom. inval.),GCF_900097015.1
Plasmodium berghei,GCF_900002375.2
Plasmodium billcollinsi,GCA_900257145.2
Plasmodium blacklocki (nom. inval.),GCA_900097035.1
Plasmodium cf. malariae,GCA_947331455.1
Plasmodium coatneyi,GCF_001680005.1
Plasmodium cynomolgi,GCF_000321355.1
Plasmodium falciparum,GCF_000002765.6
Plasmodium fragile,GCF_000956335.1
Plasmodium gaboni,GCF_001602025.1
Plasmodium gallinaceum,GCF_900005855.1
Plasmodium gonderi,GCF_002157705.1
Plasmodium inui,GCF_000524495.1
Plasmodium knowlesi,GCF_000006355.2
